,0
0,610-0110
1,657-8050
2,163-0240
3,657-2085
4,937-4000
5,682-2160
6,652-5452
7,550-6240
8,652-0105
9,603-2186
10,611-9000
11,660-1120
12,999-0060
13,402-3121
14,550-4218
15,999-9000
16,441-0050
17,432-0212
18,668-8012
19,657-9123
20,521-1000
21,935-1116
22,657-5016
23,670-2240
24,999-3800
25,610-9008
26,639-1245
27,665-0005
28,668-4400
29,432-0208
30,611-5540
31,999-2015
32,524-0550
33,660-1435
34,656-1005
35,608-4500
36,653-0152
37,701-0020
38,439-0018
39,653-1604
40,670-9900
41,402-3606
42,165-0111
43,660-1625
44,653-1810
45,670-1240
46,664-0150
47,439-0020
48,550-5180
49,437-1200
50,951-2340
51,670-0595
52,432-0206
53,610-2705
54,639-1535
55,165-0010
56,682-1505
57,653-0320
58,657-6086
59,643-8010
60,657-9430
61,950-3536
62,643-8020
63,621-6203
64,711-0600
65,935-4202
66,702-0046
67,682-1503
68,648-1550
69,657-8045
70,664-0310
71,441-0764
72,657-9212
73,657-7054
74,520-4173
75,424-6196
76,702-0365
77,441-6740
78,702-0897
79,687-1050
80,652-3501
81,163-0301
82,935-4107
83,700-9300
84,642-0300
85,999-3150
86,670-9737
87,647-3000
88,573-1004
89,670-9255
90,441-6012
91,561-1042
92,211-0200
93,402-3190
94,643-0104
95,641-7500
96,926-3000
97,999-3900
98,550-5360
99,725-0010
100,520-4220
101,643-2151
102,634-1200
103,165-0110
104,937-4075
105,600-0001
106,610-0355
107,702-0018
108,454-0100
109,999-1400
110,653-8090
111,670-4520
112,653-0150
113,694-0055
114,603-1024
115,550-3642
116,540-1101
117,653-8055
118,608-3000
119,670-0800
120,550-6300
121,937-8510
122,653-4502
123,520-4104
124,641-5020
125,670-2003
126,621-4023
127,520-4125
128,702-1040
129,507-9240
130,503-1600
131,700-6910
132,439-0044
133,150-9120
134,682-2150
135,682-1510
136,660-3275
137,670-9727
138,670-2020
139,702-0880
140,656-0240
141,670-1160
142,150-1000
143,653-2804
144,441-6216
145,680-4150
146,657-9122
147,550-2480
148,670-3107
149,700-8000
150,550-2241
151,643-8105
152,653-0220
153,670-9280
154,670-3128
155,935-3402
156,201-1500
157,652-9002
158,936-4901
159,413-0750
160,668-3300
161,550-3518
162,660-1205
163,657-5005
164,430-0605
165,610-5791
166,951-5025
167,643-8104
168,682-1406
169,530-0105
170,610-0400
171,535-1005
172,670-9600
173,702-0909
174,683-1110
175,603-1059
176,524-0350
177,670-1020
178,670-5800
179,515-2050
180,550-5120
181,520-3216
182,315-1010
183,670-3086
184,657-8049
185,668-2200
186,670-1505
187,441-6219
188,682-1405
189,500-1011
190,670-2060
191,653-8053
192,670-5030
193,641-5025
194,657-8097
195,520-4324
196,610-0959
197,547-2024
198,149-0100
199,713-0400
200,515-2015
201,702-0220
202,711-0100
203,163-0310
204,657-9515
205,627-1010
206,656-0005
207,519-0530
208,670-4490
209,999-1100
210,702-7410
211,318-3000
212,653-8065
213,670-1600
214,657-4085
215,999-8005
216,461-1000
217,960-0550
218,402-1802
219,702-0500
220,670-2005
221,550-5480
222,441-0304
223,670-9250
224,935-6561
225,702-0052
226,165-0310
227,657-8095
228,935-1114
229,656-2050
230,165-0030
231,519-0400
232,550-3336
233,643-8200
234,670-2360
235,524-0500
236,611-5550
237,939-2305
238,607-4000
239,611-8140
240,550-4215
241,702-0905
242,682-6230
243,540-1102
244,680-6140
245,950-3300
246,656-5520
247,702-0268
248,660-1715
249,636-4101
250,653-0293
251,653-8069
252,445-0500
253,670-5010
254,682-1403
255,610-0719
256,611-3022
257,660-0006
258,660-1735
259,657-3104
260,999-9010
261,611-3000
262,657-1244
263,603-2182
264,547-2012
265,702-1057
266,310-5080
267,951-2430
268,702-0106
269,670-2700
270,682-6115
271,611-8010
272,657-9413
273,156-0100
274,656-5525
275,653-1504
276,611-5300
277,636-2070
278,439-0023
279,441-9000
280,167-1000
281,430-0210
282,154-1000
283,165-0086
284,550-6044
285,653-0410
286,441-5010
287,652-5801
288,682-1413
289,439-0050
290,520-4224
291,935-1115
292,702-0546
293,310-5140
294,682-6216
295,610-6512
296,649-0018
297,670-9400
298,702-0006
299,520-0573
300,657-5575
301,670-1330
302,611-4996
303,550-2150
304,670-7335
305,670-4530
306,446-1100
307,550-6015
308,621-6211
309,935-3602
310,520-0595
311,653-0170
312,668-4414
313,621-3126
314,657-9316
315,670-5620
316,641-6005
317,653-0230
318,660-1220
319,660-1920
320,520-3220
321,611-4003
322,670-5801
323,657-9410
324,402-3605
325,400-3101
326,665-1000
327,660-2220
328,610-0725
329,643-1452
330,935-3401
331,939-4000
332,507-9031
333,670-9740
334,603-0006
335,935-1513
336,500-3800
337,520-4330
338,702-0269
339,657-9620
340,610-2401
341,657-5515
342,999-3975
343,657-4054
344,527-0100
345,660-1225
346,520-0353
347,702-0886
348,009-3000
349,205-1000
350,668-9800
351,682-2155
352,615-1100
353,683-1061
354,520-4314
355,653-0112
356,528-0750
357,611-5002
358,999-0028
359,441-5025
360,636-1020
361,937-2000
362,683-9025
363,999-0800
364,550-2182
365,430-0160
366,439-0022
367,310-5120
368,402-1801
369,653-0160
370,641-5001
371,668-6000
372,656-5505
373,670-0802
374,935-4106
375,639-4004
376,576-1024
377,937-6050
378,432-0205
379,657-9321
380,657-9675
381,615-2540
382,999-9410
383,550-2302
384,702-0234
385,550-6020
386,656-4001
387,937-4050
388,670-9500
389,668-4412
390,611-5592
391,310-5060
392,653-0130
393,702-0161
394,702-0800
395,310-1101
396,441-0302
397,643-1138
398,500-3600
399,441-0106
400,657-9630
401,636-1022
402,670-5015
403,680-3600
404,424-5107
405,615-1000
406,665-0050
407,702-9005
408,656-3050
409,682-7062
410,550-5542
411,654-1010
412,670-3145
413,424-6089
414,702-0465
415,550-9000
416,660-4045
417,670-7000
418,439-0026
419,702-0888
420,670-2080
421,163-0527
422,550-4236
423,660-1905
424,211-0300
425,702-0135
426,550-5242
427,527-0102
428,610-1066
429,163-0520
430,657-3054
431,610-9310
432,670-7350
433,670-2040
434,441-6720
435,939-2230
436,500-3191
437,611-3021
438,550-2360
439,653-0297
440,653-4505
441,610-9099
442,452-1000
443,660-2415
444,657-5018
445,500-3120
446,900-0527
447,668-1100
448,441-6021
449,660-1930
450,641-7520
451,702-0070
452,999-1001
453,951-2425
454,610-2365
455,935-1119
456,520-1173
457,682-3666
458,653-1501
459,607-1000
460,550-5420
461,656-5535
462,441-6221
463,620-0100
464,937-4200
465,600-0020
466,670-9275
467,670-1590
468,652-6301
469,657-3000
470,623-1000
471,437-1300
472,657-5003
473,668-1105
474,433-1300
475,657-5120
476,655-6020
477,652-6502
478,621-6202
479,653-0300
480,407-0010
481,657-9235
482,940-1000
483,610-5705
484,657-5019
485,547-2014
486,431-1000
487,550-6818
488,550-3324
489,654-1003
490,682-7061
491,702-0522
492,670-1480
493,668-2233
494,682-3424
495,670-7230
496,660-2330
497,576-1006
498,657-4997
499,610-1065
500,935-3405
501,631-0103
502,656-0080
503,419-1000
504,670-0810
505,439-0108
506,653-3501
507,936-1000
508,451-1105
509,653-8060
510,610-6874
511,702-0225
512,652-2501
513,937-1000
514,652-5950
515,603-2180
516,652-6951
517,639-1350
518,670-1120
519,441-0300
520,657-5020
521,999-7520
522,647-1030
523,547-2036
524,653-4830
525,611-3100
526,682-1507
527,521-3000
528,610-1745
529,441-6032
530,636-2010
531,417-1000
532,520-2220
533,670-1900
534,682-7050
535,702-0049
536,710-9000
537,150-5010
538,951-2410
539,702-0360
540,169-0040
541,550-3542
542,432-0210
543,653-8072
544,153-1400
545,670-0705
546,652-5701
547,654-1002
548,660-3300
549,310-5070
550,657-9313
551,169-0011
552,507-0039
553,550-4230
554,643-2152
555,653-8057
556,611-5500
557,657-1054
558,653-1500
559,935-1512
560,643-1172
561,935-1117
562,204-0001
563,524-0010
564,611-3032
565,163-0539
566,402-3600
567,441-5004
568,670-9800
569,951-2255
570,702-1059
571,610-0815
572,643-8040
573,670-9225
574,413-1200
575,668-2105
576,670-7340
577,540-1202
578,561-1030
579,702-0559
580,653-4501
581,620-0200
582,700-7000
583,682-6219
584,639-2001
585,939-4005
586,660-3900
587,519-0520
588,550-4248
589,400-3131
590,635-2000
591,610-9001
592,576-1030
593,694-0065
594,702-0547
595,670-7310
596,461-4000
597,668-4313
598,636-2090
599,639-3004
600,634-1800
601,660-2435
602,682-1415
603,657-9315
604,685-2000
605,702-0469
606,621-6004
607,660-4035
608,621-6008
609,550-2181
610,520-3224
611,643-8001
612,665-0040
613,611-5551
614,647-1010
615,639-3001
616,660-1425
617,636-4120
618,550-6820
619,527-0050
620,999-3600
621,611-3031
622,643-0050
623,702-0610
624,610-2815
625,656-0050
626,550-2243
627,653-0290
628,641-5015
629,926-2500
630,702-0471
631,937-8030
632,639-2002
633,659-7015
634,670-1010
635,550-6050
636,636-5100
637,621-6002
638,525-1000
639,441-0108
640,621-6210
641,550-2301
642,550-3442
643,660-2335
644,501-2100
645,939-2315
646,163-0540
647,711-0500
648,205-1001
649,165-0060
650,550-4224
651,653-8076
652,507-9030
653,310-5100
654,657-9650
655,716-1000
656,660-0004
657,456-2015
658,504-0600
659,665-0110
660,163-0529
661,660-0024
662,653-0122
663,501-3000
664,670-7225
665,935-3205
666,939-4007
667,702-0542
668,610-9403
669,660-2245
670,550-5243
671,950-3500
672,208-0200
673,660-2325
674,610-6866
675,657-9054
676,702-0139
677,935-4205
678,670-3083
679,511-3000
680,615-2550
681,660-0008
682,653-6006
683,670-1508
684,682-9021
685,657-9243
686,702-0470
687,611-9995
688,519-0225
689,627-1140
690,999-1000
691,653-8056
692,657-1130
693,520-2416
694,657-3086
695,935-3403
696,603-2997
697,561-1018
698,935-3107
699,935-4108
700,670-1490
701,939-2232
702,621-3125
703,935-4102
704,163-1915
705,543-1100
706,670-1528
707,627-1000
708,702-1270
709,682-1450
710,641-5008
711,656-5000
712,550-5422
713,654-1001
714,670-4500
715,680-4140
716,653-6105
717,713-3001
718,657-9570
719,439-0014
720,663-0250
721,636-1036
722,638-1001
723,657-9310
724,432-0204
725,641-9912
726,999-3156
727,999-3155
728,639-5000
729,169-0006
730,670-3066
731,170-1000
732,610-5788
733,702-0179
734,657-9150
735,643-0103
736,165-0101
737,611-8040
738,520-2214
739,610-6625
740,668-4413
741,643-2153
742,501-2001
743,660-1235
744,402-3103
745,950-3545
746,639-3002
747,668-4300
748,682-6110
749,653-2603
750,653-0294
751,550-3515
752,657-9437
753,999-2010
754,670-2008
755,500-3107
756,550-2240
757,441-5001
758,519-0515
759,610-1055
760,668-2210
761,641-5005
762,702-1049
763,939-5010
764,660-2020
765,657-6085
766,610-6611
767,441-6218
768,500-3402
769,453-1000
770,611-3020
771,694-0080
772,169-0021
773,439-0052
774,668-2100
775,939-4120
776,611-3030
777,550-5080
778,171-0030
779,400-3206
780,540-1201
781,702-0895
782,694-1000
783,657-5017
784,611-4001
785,670-2500
786,610-6872
787,653-4810
788,439-0019
789,420-0020
790,621-4086
791,719-1000
792,424-6201
793,430-0195
794,507-9563
795,653-2611
796,639-4014
797,573-1010
798,935-4207
799,550-5483
800,441-5024
