ITEM NO.,UNITS,LS UNITS,DESCRIPTION
001-1000,*,,FORCE ACCOUNT NO.
001-1900,*$*,,STATE AID PROJECT - LIMITED PARTICIPATION
001-1999,*$*,,CONSTRUCTION ENGINEERING INSPECTION
001-2000,WD,,CONSTRUCTION ENGINEERING
001-2001,HR,,SENIOR INSPECTOR
001-2002,HR,,INSPECTOR
001-2003,HR,,INSPECTOR AID
001-2004,MI,,INSPECTION VEHICLE
001-2010,LS,,"INSPECTION EXPENSES, TRAVEL & LODGING -"
001-2500,LS,,WORK BY CONSULTANT -
001-3000,*$*,,PRELIMINARY AND CONSTRUCTION ENGINEERING FOR UTILITY
001-3100,*$*,,PRELIMINARY ENGINEERING FOR UTILITIES
001-4000,*,,CONSTRUCTION CONTINGENCY
001-5000,*,,UTILITY CONTINGENCY
001-6000,*,,LIQUIDATED DAMAGES
001-8003,AC,,MATL ORDERED NOT USED -
001-8004,BG,,MATL ORDERED NOT USED -
001-8005,GLF,,MATL ORDERED NOT USED -
001-8008,CY,,MATL ORDERED NOT USED -
001-8012,EA,,MATL ORDERED NOT USED -
001-8018,LF,,MATL ORDERED NOT USED -
001-8022,LS,,MATL ORDERED NOT USED -
001-8024,LB,,MATL ORDERED NOT USED -
001-8029,SY,,MATL ORDERED NOT USED -
001-8034,MG,,MATL ORDERED NOT USED -
001-8037,TN,,MATL ORDERED NOT USED -
001-8040,BL,,MATL ORDERED NOT USED -
001-8043,GL,,MATL ORDERED NOT USED -
001-8047,MI,,MATL ORDERED NOT USED -
001-8052,SF,,MATL ORDERED NOT USED -
001-8059,M,,MATL ORDERED NOT USED -
001-8064,MBM,,MATL ORDERED NOT USED -
001-8078,MBM,,MATL ORDERED NOT USED -
001-8084,LM,,MATL ORDERED NOT USED -
001-8091,GLM,,MATL ORDERED NOT USED -
001-9001,LS,,HERITAGE HIGHWAY BROCHURES
001-9002,LS,,CONSTRUCTION ADMINISTRATION BY CHATTAHOOCHEE-FLINT RDC
001-9003,LS,,CITY OF HOGANSVILLE - RESTORATION OF AMPHITHEATER STAGE
001-9004,LS,,CITY OF GRANTVILLE - EXTERIOR RENOVATION OF DEPOT
001-9005,LS,,CITY OF MORELAND - RENOVATE WINDOWS AND REPLACE ROOF
001-9006,LS,,CITY OF WARM SPRINGS - WELCOME CENTER & GATEWAY
001-9990,*$*,,OF THE ACTUAL PROJECT COST OF
001-9992,*$*,,LOCAL GOVERNMENT PROJECT AGREEMENT (LGPA) -
001-9993,*$*,,CONGESTION MITIGATION AIR QUALITY ACTIVITY - LIMITED PARTICIPATION
001-9994,LS,,CONGESTION MITIGATION AIR QUALITY ACTIVITY
001-9995,LS,,TRANSPORTATION ENHANCEMENT ACTIVITY
001-9996,*$*,,TRANSPORTATION ENHANCEMENT ACTIVITY - LIMITED PARTICIPATION
001-9997,*,,OF THE ACTUAL CONSTRUCTION COST OF
001-9998,*,,"LIMITED PARTICIPATION PROJECT, THE AMOUNT SHALL NOT EXCEED -"
001-9999,*,,"WHICHEVER IS LESS, OF THE ACTUAL CONSTR COST OF"
002-0002,LS,,ADJUSTMENT IN PAY
002-0003,LS,,*
002-0004,SY,,*
002-0005,*,,PENALTY -
002-0006,AC,,*
002-0007,DAY,,EARLY COMPLETION INCENTIVE
002-0008,CY,,REDUCTION OF PAY FOR -
002-0010,LS,,REDUCTION OF PAY FOR -
002-0012,EA,,REDUCTION OF PAY FOR -
002-0018,LF,,REDUCTION OF PAY FOR -
002-0024,LB,,REDUCTION OF PAY FOR -
002-0029,SY,,REDUCTION OF PAY FOR -
002-0030,AC,,REDUCTION OF PAY FOR -
002-0034,MG,,REDUCTION OF PAY FOR -
002-0037,TN,,REDUCTION OF PAY FOR -
002-0040,BG,,REDUCTION OF PAY FOR -
002-0043,GL,,REDUCTION OF PAY FOR -
002-0044,BL,,REDUCTION OF PAY FOR -
002-0047,MI,,REDUCTION OF PAY FOR -
002-0050,GLF,,REDUCTION OF PAY FOR -
002-0052,SF,,REDUCTION OF PAY FOR -
002-0059,M,,REDUCTION OF PAY FOR -
002-0060,WD,,REDUCTION OF PAY FOR -
002-0064,MBM,,REDUCTION OF PAY FOR -
002-0091,GLM,,REDUCTION OF PAY FOR -
002-0094,SP,,REDUCTION OF PAY FOR -
002-0096,DAY,,REDUCTION OF PAY FOR -
002-0097,HR,,REDUCTION OF PAY FOR -
002-0098,*,,REDUCTION OF PAY FOR -
002-0200,CY,,CREDIT ITEM -
002-0205,LS,,CREDIT ITEM -
002-0210,EA,,CREDIT ITEM -
002-0215,HR,,CREDIT ITEM -
002-2000,LS,,EMERGENCY MAINTENANCE -
002-2010,LS,,"EMERGENCY MAINTENANCE, DETOURS, TEMP CROSS OVERS, BARRIER WALLS & INSPECTION"
002-9000,TL,,"SETTLEMENT AGREEMENT AND MUTUAL RELEASE, DTD-"
002-9001,LS,,CHANGE IN SCOPE OF WORK
002-9020,TL,,"SETTLEMENT AGRMT, DTD -"
002-9025,HR,,SETTLEMENT - FLAGGING SERVICES
002-9998,*,,EMERGENCY REPAIRS -
004-0003,AC,,EXTRA WORK -
004-0005,GLF,,EXTRA WORK -
004-0006,WD,,EXTRA WORK -
004-0008,CY,,EXTRA WORK -
004-0009,CF,,EXTRA WORK -
004-0012,EA,,EXTRA WORK -
004-0018,LF,,EXTRA WORK -
004-0022,LS,,EXTRA WORK -
004-0024,LB,,EXTRA WORK -
004-0029,SY,,EXTRA WORK -
004-0034,MG,,EXTRA WORK -
004-0037,TN,,EXTRA WORK -
004-0040,BL,,EXTRA WORK -
004-0043,GL,,EXTRA WORK -
004-0047,MI,,EXTRA WORK -
004-0049,MO,,EXTRA WORK -
004-0052,SF,,EXTRA WORK -
004-0059,M,,EXTRA WORK -
004-0064,MBM,,EXTRA WORK
004-0084,LM,,EXTRA WORK -
004-0090,DRP,,EXTRA WORK -
004-0091,GLM,,EXTRA WORK -
004-0096,DAY,,EXTRA WORK -
004-0097,HR,,EXTRA WORK -
004-0098,*,,EXTRA WORK -
004-1000,LS,,ACCELERATED BRIDGE REMOVAL -
004-1500,LS,,ACCELERATED WORK -
005-0001,LS,,REPLACE/UPGRADE OF FLASHING LIGHT ROUNDEL
005-0002,LS,,INSTALLATION OF LIGHTING FACILITIES
005-0003,*$*,,INSTALLATION OF LIGHTING FACILITIES
005-0004,*$*,,WETLAND MITIGATION
005-0022,LS,,RAILROAD INSURANCE PREMIUM
005-0100,LS,,"ADDITIONAL WORK, RAILROAD FLAGGING"
005-0500,*,,R/R GRADE CROSSING SAFETY IMPROVEMENTS
005-2000,*$*,,ADJUSTMENT OF FACILITIES FORCE ACCOUNT
005-6002,*$*,,AIRPORT IMPROVEMENTS -
005-6003,*$*,,AIRPORT CONSTRUCTION -
005-6005,LS,,SITE PREPARATION FOR -
005-6008,EA,,AIRPORT LIGHTING CONTROL PANEL
005-6010,EA,,"BEACON TOWER, IN PLACE, FAA SPEC L-103"
005-6011,EA,,"AIRPORT ROTATING BEACON, IN PLACE, FAA SPEC L-101"
005-6012,EA,,"REFURBISHED AIRPORT ROTATING BEACON, IN PLACE, FAA SPEC L-101"
005-6013,EA,,"HAZARD BEACON, IN PLACE, FAA SPEC L-102"
005-6014,LS,,"SCRAPE AND PAINT BEACON TOWER, FAA SPEC, L-103"
005-6015,LS,,"MARKER BEACON, INSTALLED, COMPLETE"
005-6016,LS,,"NONDIRECTIONAL RADIO BEACON, INSTALLED, COMPLETE"
005-6017,EA,,RADIO CONTROL SYSTEM
005-6023,EA,,"ELECTRICAL JUNCTION BOX, FAA SPEC L-869"
005-6024,LF,,"ELECTRICAL DUCT, FAA SPEC L-110"
005-6025,LS,,"ELECTRICAL VAULT BUILDING, IN PLACE, FAA SPEC L-109"
005-6026,LS,,"MISC ELECTRICAL WORK, CONNECTIONS, PANELS, ETC, IN VAULT, FAA SPEC L-109"
005-6027,LF,,"BARE COUNTERPOISE WIRE, INSTALLED IN TRENCH, INCLUDING GRD RODS & GRD CONN, FAA SPEC L-108"
005-6028,LF,,"BARE COUNTERPOISE WIRE, INSTALLED IN DUCT, FAA SPEC L-108"
005-6029,EA,,"CONSTANT CURRENT REGULATOR, FAA SPEC L-109"
005-6030,LF,,"CABLE TRENCH, FAA SPEC L-108"
005-6031,LF,,"UNDERGROUND CABLE, INSTALLED IN TRENCH, FAA  SPEC L-108"
005-6032,LF,,"UNDERGROUND CABLE, INSTALLED IN DUCT OR CONDUIT, FAA SPEC L-108"
005-6033,EA,,"CABLE SPLICE, FAA SPEC L-108"
005-6034,LF,,JACK UG CONDUIT
005-6035,EA,,"RETROREFLECTIVE MARKERS, FAA SPEC L-853"
005-6036,EA,,"PULSE LIGHT APPROACH SLOPE INDICATOR, (PLASI)"
005-6037,EA,,"GENERIC VISUAL APPROACH DESCENT INDICATOR, (VADI), FAA SPEC L-882/L-883"
005-6038,EA,,"PRECISION APPROACH PATH INDICATOR,(PAPI),FAA SPEC L-880/L-881"
005-6039,EA,,"VISUAL APPROACH SLOPE INDICATOR, (VASI)"
005-6040,EA,,"MEDIUM INTENSITY RUNWAY LIGHTS, STAKE MOUNTED, FAA SPEC L-861"
005-6041,EA,,"MEDIUM INTENSITY RUNWAY LIGHTS, BASE MOUNTED, FAA SPEC L-861"
005-6042,EA,,"MEDIUM INTENSITY TAXIWAY LIGHTS, STAKE MOUNTED, FAA SPEC L-861"
005-6043,EA,,"MEDIUM INTENSITY TAXIWAY LIGHTS, BASE MOUNTED, FAA SPEC L-861"
005-6044,EA,,"THRESHOLD LIGHT, STAKE MOUNTED, FAA SPEC L-861"
005-6045,EA,,"THRESHOLD LIGHT, BASE MOUNTED FAA SPEC L-861"
005-6046,EA,,"FLASHING OMNIDIRECTIONAL APPROACH LIGHTS, FAA SPEC L-859(ODAL)"
005-6047,EA,,"RUNWAY END IDENTIFICATION LIGHTS, FAA SPEC L-849(REIL)"
005-6048,EA,,"TAXIWAY GUIDANCE SIGN, FAA SPEC L-858"
005-6049,LS,,MEDIUM INTENSITY APPROACH LIGHTING SYSTEM WITH RUNWAY ALIGNMENT INDICATOR LIGHTS (MALSR)
005-6060,EA,,"MEDIUM INTENSITY GLOBE,FAA SPEC L-861 (COLOR)-"
