Proposal,"Call Order","Section Number","Section Description",Line,Item,"Alternate Code","Item Description",Quantity,Unit,"Vendor Name","Bidder ID","Unit Price",Extension,Deviation
B1CBA1800701-0,019,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M005019",1.00000,LS,"THE SCRUGGS COMPANY",2SC900,"$52,606.83","$52,606.83",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M005019",1.00000,LS,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$76,650.00","$76,650.00","$24,043.17"
B1CBA1800701-0,019,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M005019",1.00000,LS,"JHC CORPORATION",2JH002,"$285,000.00","$285,000.00","$232,393.17"
B1CBA1800701-0,019,0001,ROADWAY,0010,150-1000,,"TRAFFIC CONTROL - M005036",1.00000,LS,"THE SCRUGGS COMPANY",2SC900,"$21,104.81","$21,104.81",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0010,150-1000,,"TRAFFIC CONTROL - M005036",1.00000,LS,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$29,850.00","$29,850.00","$8,745.19"
B1CBA1800701-0,019,0001,ROADWAY,0010,150-1000,,"TRAFFIC CONTROL - M005036",1.00000,LS,"JHC CORPORATION",2JH002,"$95,000.00","$95,000.00","$73,895.19"
B1CBA1800701-0,019,0001,ROADWAY,0015,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",150.00000,TN,"THE SCRUGGS COMPANY",2SC900,$183.41,"$27,511.50",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0015,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",150.00000,TN,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$225.00,"$33,750.00","$6,238.50"
B1CBA1800701-0,019,0001,ROADWAY,0015,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",150.00000,TN,"JHC CORPORATION",2JH002,$200.00,"$30,000.00","$2,488.50"
B1CBA1800701-0,019,0001,ROADWAY,0020,402-3130,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME","5,680.00000",TN,"THE SCRUGGS COMPANY",2SC900,$78.35,"$445,028.00",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0020,402-3130,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME","5,680.00000",TN,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$77.10,"$437,928.00","-$7,100.00"
B1CBA1800701-0,019,0001,ROADWAY,0020,402-3130,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME","5,680.00000",TN,"JHC CORPORATION",2JH002,$110.00,"$624,800.00","$179,772.00"
B1CBA1800701-0,019,0001,ROADWAY,0025,413-0750,,"TACK COAT","3,972.00000",GL,"THE SCRUGGS COMPANY",2SC900,$2.25,"$8,937.00",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0025,413-0750,,"TACK COAT","3,972.00000",GL,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$2.80,"$11,121.60","$2,184.60"
B1CBA1800701-0,019,0001,ROADWAY,0025,413-0750,,"TACK COAT","3,972.00000",GL,"JHC CORPORATION",2JH002,$7.00,"$27,804.00","$18,867.00"
B1CBA1800701-0,019,0001,ROADWAY,0030,432-5010,,"MILL ASPH CONC PVMT, VARIABLE DEPTH","68,815.00000",SY,"THE SCRUGGS COMPANY",2SC900,$1.46,"$100,469.90",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0030,432-5010,,"MILL ASPH CONC PVMT, VARIABLE DEPTH","68,815.00000",SY,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$1.55,"$106,663.25","$6,193.35"
B1CBA1800701-0,019,0001,ROADWAY,0030,432-5010,,"MILL ASPH CONC PVMT, VARIABLE DEPTH","68,815.00000",SY,"JHC CORPORATION",2JH002,$3.00,"$206,445.00","$105,975.10"
B1CBA1800701-0,019,0001,ROADWAY,0035,441-7012,,"CURB CUT WHEELCHAIR RAMP, TYPE B",2.00000,EA,"THE SCRUGGS COMPANY",2SC900,"$1,890.00","$3,780.00",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0035,441-7012,,"CURB CUT WHEELCHAIR RAMP, TYPE B",2.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$2,500.00","$5,000.00","$1,220.00"
B1CBA1800701-0,019,0001,ROADWAY,0035,441-7012,,"CURB CUT WHEELCHAIR RAMP, TYPE B",2.00000,EA,"JHC CORPORATION",2JH002,"$1,000.00","$2,000.00","-$1,780.00"
B1CBA1800701-0,019,0001,ROADWAY,0040,636-4101,,"PLASTIC FLEXIBLE DELINEATOR, TP 1A",10.00000,EA,"THE SCRUGGS COMPANY",2SC900,$52.50,$525.00,$0.00
B1CBA1800701-0,019,0001,ROADWAY,0040,636-4101,,"PLASTIC FLEXIBLE DELINEATOR, TP 1A",10.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$50.00,$500.00,-$25.00
B1CBA1800701-0,019,0001,ROADWAY,0040,636-4101,,"PLASTIC FLEXIBLE DELINEATOR, TP 1A",10.00000,EA,"JHC CORPORATION",2JH002,$100.00,"$1,000.00",$475.00
B1CBA1800701-0,019,0001,ROADWAY,0045,647-6300,,"LOOP DETECTOR, 6 FT X 40 FT, QUADRUPOLE",8.00000,EA,"THE SCRUGGS COMPANY",2SC900,"$1,050.00","$8,400.00",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0045,647-6300,,"LOOP DETECTOR, 6 FT X 40 FT, QUADRUPOLE",8.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$1,175.00","$9,400.00","$1,000.00"
B1CBA1800701-0,019,0001,ROADWAY,0045,647-6300,,"LOOP DETECTOR, 6 FT X 40 FT, QUADRUPOLE",8.00000,EA,"JHC CORPORATION",2JH002,"$2,000.00","$16,000.00","$7,600.00"
B1CBA1800701-0,019,0001,ROADWAY,0050,653-0100,,"THERMOPLASTIC PVMT MARKING, RR/HWY CROSSING SYMBOL",6.00000,EA,"THE SCRUGGS COMPANY",2SC900,$420.00,"$2,520.00",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0050,653-0100,,"THERMOPLASTIC PVMT MARKING, RR/HWY CROSSING SYMBOL",6.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$400.00,"$2,400.00",-$120.00
B1CBA1800701-0,019,0001,ROADWAY,0050,653-0100,,"THERMOPLASTIC PVMT MARKING, RR/HWY CROSSING SYMBOL",6.00000,EA,"JHC CORPORATION",2JH002,$650.00,"$3,900.00","$1,380.00"
B1CBA1800701-0,019,0001,ROADWAY,0055,653-0110,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 1",7.00000,EA,"THE SCRUGGS COMPANY",2SC900,$63.00,$441.00,$0.00
B1CBA1800701-0,019,0001,ROADWAY,0055,653-0110,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 1",7.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$60.00,$420.00,-$21.00
B1CBA1800701-0,019,0001,ROADWAY,0055,653-0110,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 1",7.00000,EA,"JHC CORPORATION",2JH002,$225.00,"$1,575.00","$1,134.00"
B1CBA1800701-0,019,0001,ROADWAY,0060,653-0120,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 2",14.00000,EA,"THE SCRUGGS COMPANY",2SC900,$63.00,$882.00,$0.00
B1CBA1800701-0,019,0001,ROADWAY,0060,653-0120,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 2",14.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$60.00,$840.00,-$42.00
B1CBA1800701-0,019,0001,ROADWAY,0060,653-0120,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 2",14.00000,EA,"JHC CORPORATION",2JH002,$250.00,"$3,500.00","$2,618.00"
B1CBA1800701-0,019,0001,ROADWAY,0065,653-0130,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 3",4.00000,EA,"THE SCRUGGS COMPANY",2SC900,$157.50,$630.00,$0.00
B1CBA1800701-0,019,0001,ROADWAY,0065,653-0130,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 3",4.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$150.00,$600.00,-$30.00
B1CBA1800701-0,019,0001,ROADWAY,0065,653-0130,,"THERMOPLASTIC PVMT MARKING, ARROW, TP 3",4.00000,EA,"JHC CORPORATION",2JH002,$300.00,"$1,200.00",$570.00
B1CBA1800701-0,019,0001,ROADWAY,0070,653-0210,,"THERMOPLASTIC PVMT MARKING, WORD, TP 1",2.00000,EA,"THE SCRUGGS COMPANY",2SC900,$157.50,$315.00,$0.00
B1CBA1800701-0,019,0001,ROADWAY,0070,653-0210,,"THERMOPLASTIC PVMT MARKING, WORD, TP 1",2.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$150.00,$300.00,-$15.00
B1CBA1800701-0,019,0001,ROADWAY,0070,653-0210,,"THERMOPLASTIC PVMT MARKING, WORD, TP 1",2.00000,EA,"JHC CORPORATION",2JH002,$250.00,$500.00,$185.00
B1CBA1800701-0,019,0001,ROADWAY,0075,653-1704,,"THERMOPLASTIC SOLID TRAF STRIPE, 24 IN, WHITE",858.00000,LF,"THE SCRUGGS COMPANY",2SC900,$5.25,"$4,504.50",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0075,653-1704,,"THERMOPLASTIC SOLID TRAF STRIPE, 24 IN, WHITE",858.00000,LF,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$5.00,"$4,290.00",-$214.50
B1CBA1800701-0,019,0001,ROADWAY,0075,653-1704,,"THERMOPLASTIC SOLID TRAF STRIPE, 24 IN, WHITE",858.00000,LF,"JHC CORPORATION",2JH002,$7.00,"$6,006.00","$1,501.50"
B1CBA1800701-0,019,0001,ROADWAY,0080,653-1804,,"THERMOPLASTIC SOLID TRAF STRIPE, 8 IN, WHITE","5,956.00000",LF,"THE SCRUGGS COMPANY",2SC900,$2.10,"$12,507.60",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0080,653-1804,,"THERMOPLASTIC SOLID TRAF STRIPE, 8 IN, WHITE","5,956.00000",LF,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$2.00,"$11,912.00",-$595.60
B1CBA1800701-0,019,0001,ROADWAY,0080,653-1804,,"THERMOPLASTIC SOLID TRAF STRIPE, 8 IN, WHITE","5,956.00000",LF,"JHC CORPORATION",2JH002,$3.00,"$17,868.00","$5,360.40"
B1CBA1800701-0,019,0001,ROADWAY,0085,653-2501,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, WHITE",5.62700,LM,"THE SCRUGGS COMPANY",2SC900,"$2,310.00","$12,998.37",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0085,653-2501,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, WHITE",5.62700,LM,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$2,200.00","$12,379.40",-$618.97
B1CBA1800701-0,019,0001,ROADWAY,0085,653-2501,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, WHITE",5.62700,LM,"JHC CORPORATION",2JH002,"$3,700.00","$20,819.90","$7,821.53"
B1CBA1800701-0,019,0001,ROADWAY,0090,653-2502,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, YELLOW",5.18800,LM,"THE SCRUGGS COMPANY",2SC900,"$2,310.00","$11,984.28",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0090,653-2502,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, YELLOW",5.18800,LM,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$2,200.00","$11,413.60",-$570.68
B1CBA1800701-0,019,0001,ROADWAY,0090,653-2502,,"THERMOPLASTIC SOLID TRAF STRIPE, 5 IN, YELLOW",5.18800,LM,"JHC CORPORATION",2JH002,"$3,700.00","$19,195.60","$7,211.32"
B1CBA1800701-0,019,0001,ROADWAY,0095,653-4501,,"THERMOPLASTIC SKIP TRAF STRIPE, 5 IN, WHITE",5.80400,GLM,"THE SCRUGGS COMPANY",2SC900,"$1,386.00","$8,044.34",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0095,653-4501,,"THERMOPLASTIC SKIP TRAF STRIPE, 5 IN, WHITE",5.80400,GLM,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$1,320.00","$7,661.28",-$383.06
B1CBA1800701-0,019,0001,ROADWAY,0095,653-4501,,"THERMOPLASTIC SKIP TRAF STRIPE, 5 IN, WHITE",5.80400,GLM,"JHC CORPORATION",2JH002,"$3,700.00","$21,474.80","$13,430.46"
B1CBA1800701-0,019,0001,ROADWAY,0100,653-4502,,"THERMOPLASTIC SKIP TRAF STRIPE, 5 IN, YELLOW",0.57000,GLM,"THE SCRUGGS COMPANY",2SC900,"$1,386.00",$790.02,$0.00
B1CBA1800701-0,019,0001,ROADWAY,0100,653-4502,,"THERMOPLASTIC SKIP TRAF STRIPE, 5 IN, YELLOW",0.57000,GLM,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,"$1,320.00",$752.40,-$37.62
B1CBA1800701-0,019,0001,ROADWAY,0100,653-4502,,"THERMOPLASTIC SKIP TRAF STRIPE, 5 IN, YELLOW",0.57000,GLM,"JHC CORPORATION",2JH002,"$5,000.00","$2,850.00","$2,059.98"
B1CBA1800701-0,019,0001,ROADWAY,0105,653-6004,,"THERMOPLASTIC TRAF STRIPING, WHITE",299.00000,SY,"THE SCRUGGS COMPANY",2SC900,$3.15,$941.85,$0.00
B1CBA1800701-0,019,0001,ROADWAY,0105,653-6004,,"THERMOPLASTIC TRAF STRIPING, WHITE",299.00000,SY,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$3.00,$897.00,-$44.85
B1CBA1800701-0,019,0001,ROADWAY,0105,653-6004,,"THERMOPLASTIC TRAF STRIPING, WHITE",299.00000,SY,"JHC CORPORATION",2JH002,$7.00,"$2,093.00","$1,151.15"
B1CBA1800701-0,019,0001,ROADWAY,0110,653-6006,,"THERMOPLASTIC TRAF STRIPING, YELLOW",525.00000,SY,"THE SCRUGGS COMPANY",2SC900,$3.15,"$1,653.75",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0110,653-6006,,"THERMOPLASTIC TRAF STRIPING, YELLOW",525.00000,SY,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$3.00,"$1,575.00",-$78.75
B1CBA1800701-0,019,0001,ROADWAY,0110,653-6006,,"THERMOPLASTIC TRAF STRIPING, YELLOW",525.00000,SY,"JHC CORPORATION",2JH002,$7.00,"$3,675.00","$2,021.25"
B1CBA1800701-0,019,0001,ROADWAY,0115,654-1001,,"RAISED PVMT MARKERS TP 1",498.00000,EA,"THE SCRUGGS COMPANY",2SC900,$3.15,"$1,568.70",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0115,654-1001,,"RAISED PVMT MARKERS TP 1",498.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$3.00,"$1,494.00",-$74.70
B1CBA1800701-0,019,0001,ROADWAY,0115,654-1001,,"RAISED PVMT MARKERS TP 1",498.00000,EA,"JHC CORPORATION",2JH002,$10.00,"$4,980.00","$3,411.30"
B1CBA1800701-0,019,0001,ROADWAY,0120,654-1003,,"RAISED PVMT MARKERS TP 3",604.00000,EA,"THE SCRUGGS COMPANY",2SC900,$3.15,"$1,902.60",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0120,654-1003,,"RAISED PVMT MARKERS TP 3",604.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$3.00,"$1,812.00",-$90.60
B1CBA1800701-0,019,0001,ROADWAY,0120,654-1003,,"RAISED PVMT MARKERS TP 3",604.00000,EA,"JHC CORPORATION",2JH002,$10.00,"$6,040.00","$4,137.40"
B1CBA1800701-0,019,0001,ROADWAY,0125,654-1010,,"RAISED PVMT MARKERS TP 10",61.00000,EA,"THE SCRUGGS COMPANY",2SC900,$52.50,"$3,202.50",$0.00
B1CBA1800701-0,019,0001,ROADWAY,0125,654-1010,,"RAISED PVMT MARKERS TP 10",61.00000,EA,"REAMES AND SON CONSTRUCTION COMPANY, INC.",2RE120,$50.00,"$3,050.00",-$152.50
B1CBA1800701-0,019,0001,ROADWAY,0125,654-1010,,"RAISED PVMT MARKERS TP 10",61.00000,EA,"JHC CORPORATION",2JH002,$70.00,"$4,270.00","$1,067.50"
