Proposal,"Call Order","Section Number","Section Description",Line,Item,"Alternate Code","Item Description",Quantity,Unit,"Vendor Name","Bidder ID","Unit Price",Extension,Deviation
B3TIA2002290-0,028,0001,ROADWAY,0005,210-0200,,"GRADING PER MILE",2.11600,LM,"EAST COAST ASPHALT, LLC",00000000012961,"$5,500.00","$11,638.00",$0.00
B3TIA2002290-0,028,0001,ROADWAY,0005,210-0200,,"GRADING PER MILE",2.11600,LM,"PLANT IMPROVEMENT CO., INC.",2PL500,"$9,141.13","$19,342.63","$7,704.63"
B3TIA2002290-0,028,0001,ROADWAY,0010,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",165.00000,TN,"EAST COAST ASPHALT, LLC",00000000012961,$120.00,"$19,800.00",$0.00
B3TIA2002290-0,028,0001,ROADWAY,0010,402-1802,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME",165.00000,TN,"PLANT IMPROVEMENT CO., INC.",2PL500,$112.64,"$18,585.60","-$1,214.40"
B3TIA2002290-0,028,0001,ROADWAY,0015,700-6910,,"PERMANENT GRASSING",2.10000,AC,"EAST COAST ASPHALT, LLC",00000000012961,$550.00,"$1,155.00",$0.00
B3TIA2002290-0,028,0001,ROADWAY,0015,700-6910,,"PERMANENT GRASSING",2.10000,AC,"PLANT IMPROVEMENT CO., INC.",2PL500,$582.51,"$1,223.27",$68.27
B3TIA2002290-0,028,0001,ROADWAY,0020,700-7000,,"AGRICULTURAL LIME",4.20000,TN,"EAST COAST ASPHALT, LLC",00000000012961,$0.01,$0.04,$0.00
B3TIA2002290-0,028,0001,ROADWAY,0020,700-7000,,"AGRICULTURAL LIME",4.20000,TN,"PLANT IMPROVEMENT CO., INC.",2PL500,$1.16,$4.87,$4.83
B3TIA2002290-0,028,0001,ROADWAY,0025,700-8000,,"FERTILIZER MIXED GRADE",1.40000,TN,"EAST COAST ASPHALT, LLC",00000000012961,$550.00,$770.00,$0.00
B3TIA2002290-0,028,0001,ROADWAY,0025,700-8000,,"FERTILIZER MIXED GRADE",1.40000,TN,"PLANT IMPROVEMENT CO., INC.",2PL500,$815.51,"$1,141.71",$371.71
B3TIA2002290-0,028,0001,ROADWAY,0030,700-8100,,"FERTILIZER NITROGEN CONTENT",105.00000,LB,"EAST COAST ASPHALT, LLC",00000000012961,$3.50,$367.50,$0.00
B3TIA2002290-0,028,0001,ROADWAY,0030,700-8100,,"FERTILIZER NITROGEN CONTENT",105.00000,LB,"PLANT IMPROVEMENT CO., INC.",2PL500,$3.50,$367.50,$0.00
B3TIA2002290-0,028,0001,ROADWAY,0035,713-3012,,"WOOD FIBER BLANKET, TP II, SHOULDERS","10,164.00000",SY,"EAST COAST ASPHALT, LLC",00000000012961,$0.29,"$2,947.56",$0.00
B3TIA2002290-0,028,0001,ROADWAY,0035,713-3012,,"WOOD FIBER BLANKET, TP II, SHOULDERS","10,164.00000",SY,"PLANT IMPROVEMENT CO., INC.",2PL500,$0.58,"$5,895.12","$2,947.56"
B3TIA2002290-0,028,0001,ROADWAY,0040,999-0125,,"LUMP SUM RESURFACING - 0016211",1.00000,LS,"EAST COAST ASPHALT, LLC",00000000012961,"$153,403.32","$153,403.32",$0.00
B3TIA2002290-0,028,0001,ROADWAY,0040,999-0125,,"LUMP SUM RESURFACING - 0016211",1.00000,LS,"PLANT IMPROVEMENT CO., INC.",2PL500,"$168,777.86","$168,777.86","$15,374.54"
B3TIA2002290-0,028,0001,ROADWAY,0045,999-0125,,"LUMP SUM RESURFACING - 0016212",1.00000,LS,"EAST COAST ASPHALT, LLC",00000000012961,"$127,270.86","$127,270.86",$0.00
B3TIA2002290-0,028,0001,ROADWAY,0045,999-0125,,"LUMP SUM RESURFACING - 0016212",1.00000,LS,"PLANT IMPROVEMENT CO., INC.",2PL500,"$137,740.12","$137,740.12","$10,469.26"
B3TIA2002290-0,028,0001,ROADWAY,0050,999-0125,,"LUMP SUM RESURFACING - 0016213",1.00000,LS,"EAST COAST ASPHALT, LLC",00000000012961,"$90,929.62","$90,929.62",$0.00
B3TIA2002290-0,028,0001,ROADWAY,0050,999-0125,,"LUMP SUM RESURFACING - 0016213",1.00000,LS,"PLANT IMPROVEMENT CO., INC.",2PL500,"$108,439.09","$108,439.09","$17,509.47"
