Proposal,"Call Order","Section Number","Section Description",Line,Item,"Alternate Code","Item Description",Quantity,Unit,"Vendor Name","Bidder ID","Unit Price",Extension,Deviation
B1CBA2302425-0,020,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - 0019029",1.00000,LS,"OHMSHIV CONSTRUCTION, LLC",2OH750,"$1,998,500.00","$1,998,500.00",$0.00
B1CBA2302425-0,020,0001,ROADWAY,0010,158-1000,,"TRAINING HOURS","1,000.00000",HR,"OHMSHIV CONSTRUCTION, LLC",2OH750,$0.80,$800.00,$0.00
B1CBA2302425-0,020,0001,ROADWAY,0015,610-1055,,"REM GUARDRAIL","188,404.00000",LF,"OHMSHIV CONSTRUCTION, LLC",2OH750,$6.10,"$1,149,264.40",$0.00
B1CBA2302425-0,020,0001,ROADWAY,0020,610-1075,,"REM GUARDRAIL ANCH, ALL TYPES",401.00000,EA,"OHMSHIV CONSTRUCTION, LLC",2OH750,$450.00,"$180,450.00",$0.00
B1CBA2302425-0,020,0001,ROADWAY,0025,641-1100,,"GUARDRAIL, TP T","7,736.00000",LF,"OHMSHIV CONSTRUCTION, LLC",2OH750,$106.00,"$820,016.00",$0.00
B1CBA2302425-0,020,0001,ROADWAY,0030,641-1200,,"GUARDRAIL, TP W","159,525.00000",LF,"OHMSHIV CONSTRUCTION, LLC",2OH750,$37.40,"$5,966,235.00",$0.00
B1CBA2302425-0,020,0001,ROADWAY,0035,641-2100,,"DBL FACED GUARDRAIL, TP T",41.00000,LF,"OHMSHIV CONSTRUCTION, LLC",2OH750,$190.00,"$7,790.00",$0.00
B1CBA2302425-0,020,0001,ROADWAY,0040,641-2200,,"DBL FACED GUARDRAIL, TP W","21,200.00000",LF,"OHMSHIV CONSTRUCTION, LLC",2OH750,$54.25,"$1,150,100.00",$0.00
B1CBA2302425-0,020,0001,ROADWAY,0045,641-5001,,"GUARDRAIL ANCHORAGE, TP 1",246.00000,EA,"OHMSHIV CONSTRUCTION, LLC",2OH750,"$2,350.00","$578,100.00",$0.00
B1CBA2302425-0,020,0001,ROADWAY,0050,641-5015,,"GUARDRAIL TERMINAL, TP 12A, 31 IN, TANGENT, ENERGY-ABSORBING",153.00000,EA,"OHMSHIV CONSTRUCTION, LLC",2OH750,"$4,275.00","$654,075.00",$0.00
B1CBA2302425-0,020,0001,ROADWAY,0055,641-6005,,"GUARDRAIL  TERMINAL, TP 10D, 31 IN",2.00000,EA,"OHMSHIV CONSTRUCTION, LLC",2OH750,"$15,500.00","$31,000.00",$0.00
B1CBA2302425-0,020,0001,ROADWAY,0060,642-0300,,"CABLE TERMINAL (NCHRP 350 TL-3 COMPLIANT)",15.00000,EA,"OHMSHIV CONSTRUCTION, LLC",2OH750,"$13,500.00","$202,500.00",$0.00
